id;annotations/0/id;annotations/0/completed_by;annotations/0/result/0/original_width;annotations/0/result/0/original_height;annotations/0/result/0/image_rotation;annotations/0/result/0/value/x;annotations/0/result/0/value/y;annotations/0/result/0/value/width;annotations/0/result/0/value/height;annotations/0/result/0/value/rotation;annotations/0/result/0/value/rectanglelabels/0;annotations/0/result/0/id;annotations/0/result/0/from_name;annotations/0/result/0/to_name;annotations/0/result/0/type;annotations/0/result/0/origin;annotations/0/was_cancelled;annotations/0/ground_truth;annotations/0/created_at;annotations/0/updated_at;annotations/0/lead_time;annotations/0/result_count;annotations/0/task;annotations/0/project;annotations/0/parent_prediction;annotations/0/parent_annotation;file_upload;data/image;created_at;updated_at;inner_id;total_annotations;cancelled_annotations;total_predictions;comment_count;unresolved_comment_count;last_comment_updated_at;project;updated_by;drafts/0/id;drafts/0/user;drafts/0/created_username;drafts/0/created_ago;drafts/0/result/0/original_width;drafts/0/result/0/original_height;drafts/0/result/0/image_rotation;drafts/0/result/0/value/x;drafts/0/result/0/value/y;drafts/0/result/0/value/width;drafts/0/result/0/value/height;drafts/0/result/0/value/rotation;drafts/0/result/0/value/rectanglelabels/0;drafts/0/result/0/id;drafts/0/result/0/from_name;drafts/0/result/0/to_name;drafts/0/result/0/type;drafts/0/result/0/origin;drafts/0/lead_time;drafts/0/was_postponed;drafts/0/created_at;drafts/0/updated_at;drafts/0/task;drafts/0/annotation
15;16;1;480;480;0;40.399002493765586;23.69077306733167;15.960099750623442;9.975062344139651;0;1;q4b2ZceK0i;label;image;rectanglelabels;manual;false;false;2023-01-03T20:02:33.811235Z;2023-01-03T20:02:33.811262Z;5.703;0;15;1;;;a379dd1e-d20_off-angle_0070.jpg;/data/upload/1/a379dd1e-d20_off-angle_0070.jpg;2023-01-03T19:51:53.361261Z;2023-01-03T20:02:37.114566Z;15;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
16;17;1;480;480;0;33.915211970074814;49.87531172069826;21.945137157107226;18.70324189526185;0;1;2LXdjIOvuS;label;image;rectanglelabels;manual;false;false;2023-01-03T20:02:48.447356Z;2023-01-03T20:02:48.447382Z;6.956;0;16;1;;;d20667bd-d20_top_414.jpg;/data/upload/1/d20667bd-d20_top_414.jpg;2023-01-03T19:51:53.361304Z;2023-01-03T20:02:53.517664Z;16;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
17;18;1;480;480;0;39.40149625935161;20.448877805486283;18.453865336658353;16.209476309226932;0;1;UTYm9h-oBq;label;image;rectanglelabels;manual;false;false;2023-01-03T20:03:03.216141Z;2023-01-03T20:03:03.216171Z;7.252;0;17;1;;;d07ed3ad-d20_off-angle_0094.jpg;/data/upload/1/d07ed3ad-d20_off-angle_0094.jpg;2023-01-03T19:51:53.361347Z;2023-01-03T20:03:07.968555Z;17;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
18;19;1;480;480;0;40.399002493765586;20.947630922693268;17.206982543640898;15.960099750623442;0;1;DBiAFTCrUH;label;image;rectanglelabels;manual;false;false;2023-01-03T20:03:20.370309Z;2023-01-03T20:03:20.370341Z;5.693;0;18;1;;;030f4550-d20_off-angle_0119.jpg;/data/upload/1/030f4550-d20_off-angle_0119.jpg;2023-01-03T19:51:53.361390Z;2023-01-03T20:03:24.479245Z;18;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
19;20;1;480;480;0;48.12967581047381;32.418952618453865;18.204488778054863;17.456359102244395;0;1;_ww1SOEvi6;label;image;rectanglelabels;manual;false;false;2023-01-03T20:03:33.213091Z;2023-01-03T20:03:33.213119Z;6.018;0;19;1;;;10a7f852-d20_color354.jpg;/data/upload/1/10a7f852-d20_color354.jpg;2023-01-03T19:51:53.361434Z;2023-01-03T20:03:36.345263Z;19;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
20;21;1;480;480;0;39.15211970074813;21.69576059850374;17.456359102244395;13.965087281795508;0;1;G_1Lzt1tEU;label;image;rectanglelabels;manual;false;false;2023-01-03T20:03:47.875574Z;2023-01-03T20:03:47.875602Z;8.677;0;20;1;;;36cb5e02-d20_off-angle_0069.jpg;/data/upload/1/36cb5e02-d20_off-angle_0069.jpg;2023-01-03T19:51:53.361477Z;2023-01-03T20:03:51.309605Z;20;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
21;22;1;480;480;0;49.12718204488778;34.663341645885296;16.70822942643392;17.456359102244395;0;1;73kOs2ln_z;label;image;rectanglelabels;manual;false;false;2023-01-03T20:04:00.964265Z;2023-01-03T20:04:00.964291Z;6.138;0;21;1;;;b9ee7067-d20_color360.jpg;/data/upload/1/b9ee7067-d20_color360.jpg;2023-01-03T19:51:53.361520Z;2023-01-03T20:04:04.061338Z;21;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
22;23;1;480;480;0;39.15211970074813;21.69576059850374;18.453865336658353;20.199501246882793;0;1;n1HBETrBfZ;label;image;rectanglelabels;manual;false;false;2023-01-03T20:04:12.973646Z;2023-01-03T20:04:12.973676Z;5.918;0;22;1;;;1dd7bd61-d20_off-angle_0008.jpg;/data/upload/1/1dd7bd61-d20_off-angle_0008.jpg;2023-01-03T19:51:53.361564Z;2023-01-03T20:04:16.158323Z;22;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
23;24;1;480;480;0;50.12468827930174;28.67830423940149;11.72069825436409;16.458852867830423;0;1;IGgHbHAsBL;label;image;rectanglelabels;manual;false;false;2023-01-03T20:04:32.254797Z;2023-01-03T20:04:32.254826Z;13.033;0;23;1;;;cb7e8b4f-d20_color306.jpg;/data/upload/1/cb7e8b4f-d20_color306.jpg;2023-01-03T19:51:53.361607Z;2023-01-03T20:04:35.617206Z;23;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
24;25;1;480;480;0;35.910224438902745;49.12718204488778;17.955112219451372;21.197007481296758;0;1;ihDrUxdz4y;label;image;rectanglelabels;manual;false;false;2023-01-03T20:04:53.245388Z;2023-01-03T20:04:53.245418Z;6.065;0;24;1;;;016ef59f-d20_top_501.jpg;/data/upload/1/016ef59f-d20_top_501.jpg;2023-01-03T19:51:53.361649Z;2023-01-03T20:04:56.995207Z;24;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
25;26;1;480;480;0;41.14713216957606;21.945137157107226;15.710723192019952;12.967581047381547;0;1;TsRVb4ee-B;label;image;rectanglelabels;manual;false;false;2023-01-03T20:05:13.346516Z;2023-01-03T20:05:13.346543Z;8.395;0;25;1;;;824cd115-d20_off-angle_0082.jpg;/data/upload/1/824cd115-d20_off-angle_0082.jpg;2023-01-03T19:51:53.361692Z;2023-01-03T20:05:16.664716Z;25;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
26;27;1;480;480;0;50.12468827930174;32.668329177057366;17.456359102244395;20.199501246882793;0;1;t93mzwCvgq;label;image;rectanglelabels;manual;false;false;2023-01-03T20:05:26.114647Z;2023-01-03T20:05:26.114676Z;7.338;0;26;1;;;ce5e6195-d20_color363.jpg;/data/upload/1/ce5e6195-d20_color363.jpg;2023-01-03T19:51:53.361735Z;2023-01-03T20:05:29.049948Z;26;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
27;28;1;480;480;0;38.90274314214464;20.199501246882793;21.197007481296758;18.204488778054863;0;1;pbfEUK1b8D;label;image;rectanglelabels;manual;false;false;2023-01-03T20:05:41.255940Z;2023-01-03T20:05:41.256042Z;9.478;0;27;1;;;4aa679f9-d20_off-angle_0044.jpg;/data/upload/1/4aa679f9-d20_off-angle_0044.jpg;2023-01-03T19:51:53.361810Z;2023-01-03T20:05:44.245829Z;27;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
28;29;1;480;480;0;38.40399002493765;20.947630922693268;17.705735660847875;12.967581047381547;0;1;xXZ3sqRw6j;label;image;rectanglelabels;manual;false;false;2023-01-03T20:05:56.180087Z;2023-01-03T20:05:56.180114Z;9.346;0;28;1;;;bb8f20f0-d20_off-angle_0102.jpg;/data/upload/1/bb8f20f0-d20_off-angle_0102.jpg;2023-01-03T19:51:53.361863Z;2023-01-03T20:05:59.399494Z;28;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
29;30;1;480;480;0;39.900249376558605;19.700748129675812;16.209476309226932;16.957605985037407;0;1;4KIG-vs9C8;label;image;rectanglelabels;manual;false;false;2023-01-03T20:06:14.377677Z;2023-01-03T20:06:14.377707Z;12.198;0;29;1;;;7cd740c6-d20_off-angle_0075.jpg;/data/upload/1/7cd740c6-d20_off-angle_0075.jpg;2023-01-03T19:51:53.361909Z;2023-01-03T20:06:18.073394Z;29;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
30;31;1;480;480;0;39.401496259351624;40.399002493765586;17.206982543640898;13.466334164588526;0;1;K-d3iN7l4U;label;image;rectanglelabels;manual;false;false;2023-01-03T20:06:40.228464Z;2023-01-03T20:06:40.228491Z;7.624;0;30;1;;;139caaf9-d20_top_478.jpg;/data/upload/1/139caaf9-d20_top_478.jpg;2023-01-03T19:51:53.361954Z;2023-01-03T20:06:44.705007Z;30;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
31;32;1;480;480;0;42.8927680798005;33.66583541147132;17.206982543640898;12.718204488778055;0;1;DO3WJCxlDR;label;image;rectanglelabels;manual;false;false;2023-01-03T20:07:02.318442Z;2023-01-03T20:07:02.318471Z;6.231;0;31;1;;;48282878-d20_color383.jpg;/data/upload/1/48282878-d20_color383.jpg;2023-01-03T19:51:53.361998Z;2023-01-03T20:07:06.344268Z;31;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
32;33;1;480;480;0;48.6284289276808;45.137157107231914;22.693266832917704;17.456359102244395;0;1;CEyPJUvUGH;label;image;rectanglelabels;manual;false;false;2023-01-03T20:07:16.099451Z;2023-01-03T20:07:16.099477Z;7.051;0;32;1;;;006283a8-d20_top_457.jpg;/data/upload/1/006283a8-d20_top_457.jpg;2023-01-03T19:51:53.362043Z;2023-01-03T20:07:19.181586Z;32;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
33;34;1;480;480;0;43.39152119700748;21.945137157107226;21.69576059850374;16.458852867830423;0;1;xl19fUcd57;label;image;rectanglelabels;manual;false;false;2023-01-03T20:07:27.509488Z;2023-01-03T20:07:27.509516Z;5.586;0;33;1;;;71cac4e7-d20_off-angle_0151.jpg;/data/upload/1/71cac4e7-d20_off-angle_0151.jpg;2023-01-03T19:51:53.362086Z;2023-01-03T20:07:31.240016Z;33;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
34;35;1;480;480;0;44.13965087281795;21.44638403990025;18.204488778054863;16.458852867830423;0;1;Tb-U3cMdhM;label;image;rectanglelabels;manual;false;false;2023-01-03T20:07:45.342338Z;2023-01-03T20:07:45.342368Z;6.187;0;34;1;;;dcf249ef-d20_off-angle_0150.jpg;/data/upload/1/dcf249ef-d20_off-angle_0150.jpg;2023-01-03T19:51:53.362131Z;2023-01-03T20:07:50.393733Z;34;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
35;36;1;480;480;0;36.408977556109726;23.940149625935163;22.443890274314214;15.46134663341646;0;1;AYJ1FCid0s;label;image;rectanglelabels;manual;false;false;2023-01-03T20:08:05.287055Z;2023-01-03T20:08:05.287083Z;5.197;0;35;1;;;774118f3-d20_off-angle_0015.jpg;/data/upload/1/774118f3-d20_off-angle_0015.jpg;2023-01-03T19:51:53.362176Z;2023-01-03T20:08:08.668089Z;35;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
36;37;1;480;480;0;35.41147132169575;45.885286783042396;21.69576059850374;19.201995012468828;0;1;B-g4sEE8jT;label;image;rectanglelabels;manual;false;false;2023-01-03T20:08:18.413747Z;2023-01-03T20:08:18.413777Z;6.347;0;36;1;;;e567d775-d20_top_493.jpg;/data/upload/1/e567d775-d20_top_493.jpg;2023-01-03T19:51:53.362221Z;2023-01-03T20:08:21.412452Z;36;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
37;38;1;480;480;0;32.917705735660846;46.88279301745636;22.693266832917704;19.45137157107232;0;1;zKVmGM5VrK;label;image;rectanglelabels;manual;false;false;2023-01-03T20:08:31.641079Z;2023-01-03T20:08:31.641108Z;5.07;0;37;1;;;3b1106e8-d20_top_410.jpg;/data/upload/1/3b1106e8-d20_top_410.jpg;2023-01-03T19:51:53.362265Z;2023-01-03T20:08:34.887946Z;37;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
38;39;1;480;480;0;46.88279301745636;45.885286783042396;23.44139650872818;20.199501246882793;0;1;vV01fvLnD5;label;image;rectanglelabels;manual;false;false;2023-01-03T20:08:44.921758Z;2023-01-03T20:08:44.921784Z;6.287;0;38;1;;;1c109163-d20_top_453.jpg;/data/upload/1/1c109163-d20_top_453.jpg;2023-01-03T19:51:53.362338Z;2023-01-03T20:08:47.880534Z;38;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
39;40;1;480;480;0;39.15211970074813;19.950124688279303;20.199501246882793;17.206982543640898;0;1;AC2sQuytev;label;image;rectanglelabels;manual;false;false;2023-01-03T20:08:57.632917Z;2023-01-03T20:08:57.632946Z;7.114;0;39;1;;;505e23ab-d20_off-angle_0140.jpg;/data/upload/1/505e23ab-d20_off-angle_0140.jpg;2023-01-03T19:51:53.362391Z;2023-01-03T20:09:01.755083Z;39;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
40;41;1;480;480;0;39.40149625935163;17.955112219451372;16.70822942643392;18.70324189526185;0;1;ZljpQ9vAgk;label;image;rectanglelabels;manual;false;false;2023-01-03T20:09:20.821553Z;2023-01-03T20:09:20.821580Z;16.645;0;40;1;;;381e7afe-d20_off-angle_0093.jpg;/data/upload/1/381e7afe-d20_off-angle_0093.jpg;2023-01-03T19:51:53.362437Z;2023-01-03T20:09:23.839761Z;40;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
41;42;1;480;480;0;38.65336658354116;18.952618453865338;18.952618453865338;18.952618453865338;0;1;clCDHjK8_C;label;image;rectanglelabels;manual;false;false;2023-01-03T20:09:36.590888Z;2023-01-03T20:09:36.590917Z;10.134;0;41;1;;;17d7d2e5-d20_off-angle_0046.jpg;/data/upload/1/17d7d2e5-d20_off-angle_0046.jpg;2023-01-03T19:51:53.362483Z;2023-01-03T20:09:40.229718Z;41;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
42;43;1;480;480;0;48.12967581047381;29.177057356608476;16.957605985037407;14.463840399002494;0;1;DOM0NA6_Qp;label;image;rectanglelabels;manual;false;false;2023-01-03T20:09:56.997404Z;2023-01-03T20:09:56.997433Z;8.585;0;42;1;;;27cd770b-d20_color403.jpg;/data/upload/1/27cd770b-d20_color403.jpg;2023-01-03T19:51:53.362528Z;2023-01-03T20:10:00.613636Z;42;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
43;44;1;480;480;0;38.15461346633416;20.947630922693268;19.700748129675805;15.211970074812967;0;1;z6duDDOFrp;label;image;rectanglelabels;manual;false;false;2023-01-03T20:10:13.530755Z;2023-01-03T20:10:13.530782Z;8.943;0;43;1;;;2b912b1a-d20_off-angle_0101.jpg;/data/upload/1/2b912b1a-d20_off-angle_0101.jpg;2023-01-03T19:51:53.362573Z;2023-01-03T20:10:17.569809Z;43;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
44;45;1;480;480;0;38.40399002493766;21.197007481296755;18.952618453865338;18.204488778054863;0;1;OTzDHtKBlK;label;image;rectanglelabels;manual;false;false;2023-01-03T20:10:29.240252Z;2023-01-03T20:10:29.240301Z;8.876;0;44;1;;;fd90dd19-d20_off-angle_0038.jpg;/data/upload/1/fd90dd19-d20_off-angle_0038.jpg;2023-01-03T19:51:53.362618Z;2023-01-03T20:10:32.393982Z;44;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
45;46;1;480;480;0;49.87531172069826;34.413965087281795;16.957605985037407;16.458852867830423;0;1;7K1io8fvuL;label;image;rectanglelabels;manual;false;false;2023-01-03T20:10:43.325521Z;2023-01-03T20:10:43.325548Z;8.277;0;45;1;;;2a67e000-d20_color362.jpg;/data/upload/1/2a67e000-d20_color362.jpg;2023-01-03T19:51:53.362691Z;2023-01-03T20:10:46.901277Z;45;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
46;47;1;480;480;0;38.15461346633416;21.69576059850374;19.950124688279303;14.713216957605985;0;1;uW_VDpyPDB;label;image;rectanglelabels;manual;false;false;2023-01-03T20:10:59.527487Z;2023-01-03T20:10:59.527515Z;9.817;0;46;1;;;c46c4818-d20_off-angle_0104.jpg;/data/upload/1/c46c4818-d20_off-angle_0104.jpg;2023-01-03T19:51:53.362738Z;2023-01-03T20:11:03.308705Z;46;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
47;48;1;480;480;0;38.90274314214464;18.952618453865338;18.453865336658353;17.456359102244395;0;1;pWnn_Uu8e0;label;image;rectanglelabels;manual;false;false;2023-01-03T20:11:17.798961Z;2023-01-03T20:11:17.798991Z;7.251;0;47;1;;;cda62d13-d20_off-angle_0048.jpg;/data/upload/1/cda62d13-d20_off-angle_0048.jpg;2023-01-03T19:51:53.362784Z;2023-01-03T20:11:21.016993Z;47;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
48;49;1;480;480;0;37.4064837905237;20.199501246882793;20.947630922693268;16.209476309226932;0;1;xp7Ml6QdEJ;label;image;rectanglelabels;manual;false;false;2023-01-03T20:11:31.988640Z;2023-01-03T20:11:31.988749Z;7.888;0;48;1;;;db861451-d20_off-angle_0047.jpg;/data/upload/1/db861451-d20_off-angle_0047.jpg;2023-01-03T19:51:53.362829Z;2023-01-03T20:11:35.164562Z;48;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
49;50;1;480;480;0;38.65336658354116;21.44638403990025;21.197007481296758;13.965087281795508;0;1;4othVyAKvo;label;image;rectanglelabels;manual;false;false;2023-01-03T20:11:45.558499Z;2023-01-03T20:11:45.558527Z;7.37;0;49;1;;;c1d2b6fb-d20_off-angle_0122.jpg;/data/upload/1/c1d2b6fb-d20_off-angle_0122.jpg;2023-01-03T19:51:53.362874Z;2023-01-03T20:11:48.554346Z;49;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
50;51;1;480;480;0;47.880299251870326;29.925187032418954;16.458852867830423;15.710723192019952;0;1;AAcmeQHjmD;label;image;rectanglelabels;manual;false;false;2023-01-03T20:12:01.209415Z;2023-01-03T20:12:01.209443Z;10.036;0;50;1;;;d3c4955c-d20_color299.jpg;/data/upload/1/d3c4955c-d20_color299.jpg;2023-01-03T19:51:53.362919Z;2023-01-03T20:12:07.059893Z;50;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
